fsym_id,bbgid
TWKFD4-R,BBG000BWCNX6
D8FPTC-R,BBG000BKNX95
Q1LDBW-R,BBG000C78J55
TKKPJB-R,BBG000BXRPH1
R3HBM2-R,BBG000C1JTL6
QTKYGP-R,BBG000F1FSV8
NDN5DT-R,BBG000BFNR17
R70TJY-R,BBG000FY7G32
W6N4JC-R,BBG000BB29X4
WTJ15D-R,BBG0029SNR63
M79R1P-R,BBG000BPD168
B6ZXQL-R,BBG000DHPN63
N5T0SQ-R,BBG000H4NZQ1
NFRN55-R,BBG000BQY289
BQWWY7-R,BBG000BMW2Z0
DBNPJ7-R,BBG000BXB8N9
KZMN3C-R,BBG000BQD1J2
FT2LQJ-R,BBG000CM9K67
HRCK3C-R,BBG000HN4T39
T73TZJ-R,BBG000F10CV9
N4P9L4-R,BBG000BX57K1
RSVDFJ-R,BBG000HSJ1S6
TWXW2R-R,BBG000BQQH30
MFYB4M-R,BBG000BF7Y65
M75DSM-R,BBG000BRF6B5
CLYQXL-R,BBG000BC8074
C32SJS-R,BBG000BCZH22
KB2QBM-R,BBG000CVWGS6
KC6WDM-R,BBG000BN8MN4
DBRKWT-R,BBG000BCRVC9
BDQDB8-R,BBG000NV1KK7
BHPM6T-R,BBG000DJS5Z3
NNKD2Y-R,BBG000DMBXR2
SZDG9R-R,BBG000CYCYT2
JG36YL-R,BBG000GXSH92
NB6XX6-R,BBG000BHKCQ2
BQR5YT-R,BBG000C3NTN5
W6SXMV-R,BBG000C43RR5
KW432H-R,BBG000BMH2Q7
R5XGXL-R,BBG000BKCFC2
NDG727-R,BBG000BC4HW3
NT37R4-R,BBG000BC33T9
XKBMRH-R,BBG00333FYS2
DLSMXK-R,BBG000BX3BL3
JYWMBW-R,BBG000CKGBP2
FQZF97-R,BBG000F1ZSN5
QG1HR7-R,BBG000GZQ728
KK2P47-R,BBG000BL8GJ6
TSMM1S-R,BBG000G2GD10
Q4YP8S-R,BBG001YMS0B8
N13NK9-R,BBG000BMF5J0
TW6KKV-R,BBG0039320N9
KZKK3D-R,BBG000BG4202
RJ022Y-R,BBG000C75N77
P6FZQB-R,BBG000BKK5Z0
K6RW63-R,BBG000C496P7
CRHPMR-R,BBG000C221G9
NRT4CM-R,BBG000DTZ6C6
B5PV8Z-R,BBG000BM21S3
DTKPJP-R,BBG000B9XYV2
P36M94-R,BBG000BGYWY6
RBB7RY-R,BBG000H9G7X2
D2RCHW-R,BBG000CB2ZY4
PFHZCV-R,BBG000FZG9P1
CRRX9G-R,BBG000BW6NW4
HF1P15-R,BBG000BJ49H3
S390D0-R,BBG000BVW841
D65111-R,BBG000BDQGN9
KCCLD1-R,BBG000BV1Y93
FBC2XZ-R,BBG000JST746
HP13ZD-R,BBG008NXC572
KFJJ0V-R,BBG000CKJ0P3
QKJS7V-R,BBG000M65M61
WTY9GV-R,BBG000BR0952
FK9ZPL-R,BBG000BMJYW8
TJL23L-R,BBG000D2M6H4
JH4JKX-R,BBG000BQ5TK8
JQZ00G-R,BBG000BKFBD7
DMR8FC-R,BBG000FL1XJ2
FWHKKR-R,BBG000CBMH27
DRBC9M-R,BBG000BKR1D6
QQ56TG-R,BBG000BBP0X8
DF9PT2-R,BBG000BD8PN9
Q0JCBW-R,BBG000CQZBQ7
JR1TJ7-R,BBG000BKHMF9
FV824M-R,BBG000FDBX90
BV4P4T-R,BBG000BQGKM3
KFP2R4-R,BBG000C41023
SL2N3F-R,BBG000BKJGT5
BK1GXZ-R,BBG000BVK2W6
KXDMGL-R,BBG000F0KF42
CPHBQ7-R,BBG000BD9473
THG9TZ-R,BBG000BYJJD6
G5M19V-R,BBG000BVP5P2
MXZ7RW-R,BBG000PPFKQ7
NZMC6V-R,BBG000BP7094
SRL24C-R,BBG000BSBB99
Q3Z513-R,BBG000C4XD11
CHR1NX-R,BBG000C5Z1S3
B82VFF-R,BBG000H50PN8
RDQZ92-R,BBG000GHZSZ6
LTSNXH-R,BBG000BDXCJ5
S8ZQDV-R,BBG000C734W3
