,Declared Date,Dividend Amount,Dividend Frequency,Dividend Type,Ex-Date,Payable Date,Record Date,security
0,2019-11-21,1.03,Quarter,Regular Cash,2019-12-05,2020-01-03,2019-12-06,/bbgid/BBG000BMW2Z0
0,2019-12-04,0.1,Quarter,Regular Cash,2020-01-14,2020-02-14,2020-01-15,/bbgid/BBG000BFW9K6
0,2019-11-08,0.55,Quarter,Regular Cash,2020-01-21,2020-02-05,2020-01-22,/bbgid/BBG000BNDN65
0,2019-10-22,0.05,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG00GK831B6
0,2019-11-20,0.09,Quarter,Regular Cash,2019-12-24,2020-01-21,2019-12-27,/bbgid/BBG000CCBBV8
0,2019-11-26,0.54,Quarter,Regular Cash,2019-12-05,2019-12-17,2019-12-06,/bbgid/BBG000BB6G37
0,2019-10-24,0.3,Quarter,Regular Cash,2019-12-20,2020-01-06,2019-12-23,/bbgid/BBG000BWYX06
0,2019-12-05,1.03,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000BC33T9
0,2019-11-08,0.105,Quarter,Regular Cash,2019-12-16,2019-12-31,2019-12-17,/bbgid/BBG000F1M8C5
0,2019-12-05,0.0625,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000DRPX50
0,2019-11-21,0.53,Quarter,Regular Cash,2020-01-09,2020-01-21,2020-01-10,/bbgid/BBG000BH5DV1
0,2019-12-04,0.06,Quarter,Regular Cash,2019-12-18,2020-01-10,2019-12-19,/bbgid/BBG000C4CGB6
0,2019-11-27,0.22,Quarter,Regular Cash,2019-12-09,2019-12-24,2019-12-10,/bbgid/BBG000C0BZD1
0,2019-11-07,0.205,Quarter,Regular Cash,2020-01-02,2020-01-17,2020-01-03,/bbgid/BBG00F5NYT81
0,2019-03-22,0.03,3x a yr,Regular Cash,2019-12-06,2019-12-12,2019-12-09,/bbgid/BBG001LR99L2
0,2019-12-05,0.01917,Monthly,Regular Cash,2019-12-12,2019-12-31,2019-12-13,/bbgid/BBG000BDP1P1
0,2019-11-20,0.07,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG000Q8MHG4
0,2019-11-06,0.05,Quarter,Regular Cash,2019-12-12,2019-12-24,2019-12-13,/bbgid/BBG000C78J55
0,2019-10-31,0.195,Quarter,Regular Cash,2019-12-12,2019-12-27,2019-12-13,/bbgid/BBG000CX0P89
0,2019-10-28,0.197,Quarter,Regular Cash,2019-12-13,2019-12-30,2019-12-16,/bbgid/BBG000TP7D24
0,2019-11-25,0.24,Quarter,Regular Cash,2019-12-23,2020-01-09,2019-12-24,/bbgid/BBG000HBTSH5
0,2019-10-23,0.12,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000BVMZD2
0,2019-11-20,0.2175,Quarter,Regular Cash,2020-01-09,2020-01-31,2020-01-10,/bbgid/BBG000BDNV95
0,2019-11-26,0.02625,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000DPP7S6
0,2019-11-12,0.4,Quarter,Regular Cash,2019-12-30,2020-01-22,2019-12-31,/bbgid/BBG000BMZ7P7
0,2019-11-19,0.61,Quarter,Regular Cash,2019-12-13,2020-01-08,2019-12-16,/bbgid/BBG000BPD168
0,2019-11-07,1.1375,Quarter,Regular Cash,2020-01-30,2020-03-01,2020-01-31,/bbgid/BBG000BYD2V9
0,2019-11-21,0.26,Quarter,Regular Cash,2019-12-11,2020-01-09,2019-12-12,/bbgid/BBG000BGRB25
0,2019-11-20,0.27,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000FLKSG5
0,2019-10-10,0.2025,Quarter,Regular Cash,2019-12-12,2020-01-09,2019-12-13,/bbgid/BBG000C8NJ10
0,2019-11-20,0.18,Quarter,Regular Cash,2019-12-10,2020-01-08,2019-12-11,/bbgid/BBG000BNJHS8
0,2019-12-05,0.1,Quarter,Regular Cash,2019-12-13,2020-01-02,2019-12-16,/bbgid/BBG000D79DL8
0,2019-11-22,0.025,Quarter,Regular Cash,2019-12-12,2019-12-31,2019-12-13,/bbgid/BBG004MB7Q16
0,2019-11-21,0.13,Quarter,Regular Cash,2019-12-06,2019-12-23,2019-12-09,/bbgid/BBG000BM97G6
0,2019-12-04,0.13,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000DVB833
0,2019-11-06,0.75,Quarter,Regular Cash,2019-12-09,2019-12-27,2019-12-10,/bbgid/BBG000BHLYP4
0,2019-11-07,0.15,Quarter,Regular Cash,2020-01-09,2020-01-17,2020-01-10,/bbgid/BBG000BYWTL0
