fsym_id,sector,industry_group,industry,sub_industry,sector_id,industry_group_id,industry_id,sub_industry_id
DF2WYT-R,Information Technology,Software & Services,Software,Systems Software,45,4510,451030,45103020
DF3WQM-R,Utilities,Utilities,Multi-Utilities,Multi-Utilities,55,5510,551030,55103010
DF3YVP-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
DF9PT2-R,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban,40,4020,402030,40203010
DG27Q5-R,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,20,2010,201040,20104010
DG6SCF-R,Industrials,Transportation,Road & Rail,Railroads,20,2030,203040,20304010
DG71WP-R,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S,50,5010,501010,50101020
DGBZCC-R,Industrials,Transportation,Airlines,Airlines,20,2030,203020,20302010
DH79H0-R,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances,25,2520,252010,25201040
DH7WLK-R,Real Estate,Real Estate,Equity Real Estate Investment,Industrial REITs,60,6010,601010,60101020
DH962S-R,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",25,2530,253010,25301020
DHC1MJ-R,Communication Services,Media & Entertainment,Media,Cable & Satellite,50,5020,502010,50201030
DJBQ39-R,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services,20,2020,202010,20201070
DJC2TN-R,Information Technology,Software & Services,Software,Application Software,45,4510,451030,45103010
DJC60R-R,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,30,3020,302020,30202030
DJHD0P-R,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail,30,3010,301010,30101030
DLSMXK-R,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs,60,6010,601010,60101080
DMRWLY-R,Materials,Materials,Chemicals,Specialty Chemicals,15,1510,151010,15101050
DMSDLF-R,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,20,2010,201010,20101010
DMSLZM-R,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,35,3520,352010,35201010
DMX4QY-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
DNWWBS-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,10,1010,101020,10102050
DNY1KW-R,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Office Services & Supplies,20,2020,202010,20201060
DQ510J-R,Materials,Materials,Metals & Mining,Gold,15,1510,151040,15104030
DR9KSW-R,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,25,2550,255040,25504040
DRBC9M-R,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,20,2010,201070,20107010
DSBCFQ-R,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,35,3510,351020,35102015
DTKPJP-R,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs,60,6010,601010,60101080
DTKZ1Y-R,Financials,Banks,Banks,Diversified Banks,40,4010,401010,40101010
DVKG6K-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,10,1010,101010,10101020
DVKZ61-R,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S,50,5010,501010,50101020
DVL9FZ-R,Information Technology,Software & Services,Software,Application Software,45,4510,451030,45103010
DVRBF2-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
DWQQCL-R,Materials,Materials,Metals & Mining,Silver,15,1510,151040,15104045
DXTTDL-R,Utilities,Utilities,Gas Utilities,Gas Utilities,55,5510,551020,55102010
DXV51X-R,Real Estate,Real Estate,Real Estate Management & Devel,Diversified Real Estate Activi,60,6010,601020,60102010
DXVDJ4-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45,4530,453010,45301020
DXW84Y-R,Industrials,Capital Goods,Machinery,Industrial Machinery,20,2010,201060,20106020
DXYMP5-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
DXZQS6-R,Financials,Insurance,Insurance,Life & Health Insurance,40,4030,403010,40301020
DY0VKX-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta,10,1010,101020,10102040
DZ4XT5-R,Industrials,Transportation,Transportation Infrastructure,Marine Ports & Services,20,2030,203050,20305030
DZ776B-R,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S,50,5010,501010,50101020
F03Z3C-R,Real Estate,Real Estate,Equity Real Estate Investment,Residential REITs,60,6010,601010,60101060
F04K6X-R,Information Technology,Software & Services,Software,Systems Software,45,4510,451030,45103020
F05QG0-R,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,25,2530,253010,25301040
F07DSQ-R,Real Estate,Real Estate,Real Estate Management & Devel,Real Estate Operating Companie,60,6010,601020,60102020
F07Q7W-R,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services,20,2020,202010,20201070
F08R6V-R,Materials,Materials,Chemicals,Fertilizers & Agricultural Che,15,1510,151010,15101030
F17SJ1-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45,4530,453010,45301020
F1B8CH-R,Communication Services,Media & Entertainment,Media,Cable & Satellite,50,5020,502010,50201030
F1DFCD-R,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,25,2520,252010,25201030
F1DNTM-R,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,40,4020,402030,40203020
F2CT9X-R,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,20,2010,201010,20101010
