,fsym_id,exdate,bbg_id,in_index
733,RXG6KB-R,2020-09-03 00:00:00,BBG000C22QV7,1
734,RXGK6N-R,2020-09-16 00:00:00,BBG000CB4BH4,0
735,RYRZ9L-R,2020-09-18 00:00:00,BBG000BQJHF5,0
736,RZX03G-R,2020-01-06 00:00:00,BBG000BV5627,0
737,S0WX1G-R,2020-06-11 00:00:00,BBG000BQ0N44,0
738,S0X6MR-R,2020-09-14 00:00:00,BBG000G4GKH3,0
739,S1BB8P-R,2020-09-03 00:00:00,BBG007HZBBT0,0
740,S1ZZ0F-R,2020-09-29 00:00:00,BBG000BY0R66,1
741,S208LQ-R,2020-09-15 00:00:00,BBG000BL7VL1,0
742,S218HN-R,2020-09-23 00:00:00,BBG000FBWYH0,0
743,S24JQQ-R,2020-09-03 00:00:00,BBG000BG8NR3,0
744,S28JBG-R,2020-09-03 00:00:00,BBG000QRHWN7,0
745,S38C4D-R,2020-09-29 00:00:00,BBG000PN1SJ8,0
746,S3DBR4-R,2020-09-14 00:00:00,BBG000NS26Q8,0
747,S48KNP-R,2020-09-22 00:00:00,BBG000BT14N8,0
748,S5FF1B-R,2020-09-04 00:00:00,BBG000DHTVJ7,0
749,S5PZWW-R,2020-09-03 00:00:00,BBG006NBCCW1,0
750,S7P87W-R,2020-09-30 00:00:00,BBG000BBL8V7,1
751,S7VF6V-R,2020-09-03 00:00:00,BBG000TJHTJ4,0
752,S8VPR2-R,2020-09-17 00:00:00,BBG000BYZSM8,0
753,S9YRQ1-R,2020-09-15 00:00:00,BBG009HT6BL4,0
754,SB25BC-R,2020-09-14 00:00:00,BBG000JDGKJ8,0
755,SB2SCT-R,2020-09-30 00:00:00,BBG000BWLZX9,0
756,SC3L0N-R,2020-10-01 00:00:00,BBG000QHCLD9,0
757,SC41Y3-R,2020-09-10 00:00:00,BBG000D9HD17,0
758,SCWF3N-R,2020-09-29 00:00:00,BBG009H33QM0,0
759,SD7T6Q-R,2020-09-02 00:00:00,BBG000BLKZD6,0
760,SDCD12-R,2020-09-29 00:00:00,BBG000FM1BF2,0
761,SDDNG8-R,2020-10-08 00:00:00,BBG000BVMZD2,0
762,SGX35Z-R,2020-10-29 00:00:00,BBG003CNYJ00,0
763,SJS27W-R,2020-09-08 00:00:00,BBG003MN93C9,0
764,SJS2RC-R,2020-09-03 00:00:00,BBG000BKL348,1
765,SJX7P8-R,2020-03-06 00:00:00,BBG000BVJ926,0
766,SK0VKN-R,2020-09-29 00:00:00,BBG000FVJ5K0,1
767,SKX4M8-R,2020-09-02 00:00:00,BBG000BXF5W1,1
768,SLHMXN-R,2020-09-29 00:00:00,BBG003TCRRN1,0
769,SM0Z0Y-R,2020-11-13 00:00:00,BBG00VSH86G4,0
770,SM14C3-R,2020-09-17 00:00:00,BBG000HW5GX3,0
771,SN542Y-R,2020-09-29 00:00:00,BBG00HDDHV75,0
772,SN5CK5-R,2020-09-15 00:00:00,BBG000BLRP41,0
773,SNDJ5W-R,2020-09-01 00:00:00,BBG00D1WSGP6,0
774,SPMPJ7-R,2020-09-16 00:00:00,BBG00JQ5KW32,0
775,SQGTV7-R,2020-09-29 00:00:00,BBG000BD1GP4,1
776,SRQKQL-R,2020-08-14 00:00:00,BBG000H0X1R2,0
777,SRQYFY-R,2020-09-10 00:00:00,BBG000DZ8HN6,0
778,SRR5X5-R,2020-09-21 00:00:00,BBG000BHGZT3,1
779,STRYM2-R,2020-10-01 00:00:00,BBG000NKDGG2,0
780,STWMMJ-R,2020-09-01 00:00:00,BBG000K8YCG8,0
781,SVZRQK-R,2020-09-29 00:00:00,BBG000PKZPW8,0
782,SWGFVG-R,2020-09-29 00:00:00,BBG000DNF5N1,0
783,SXD5J9-R,2020-09-15 00:00:00,BBG000R3PVY0,0
784,SY8V98-R,2020-09-18 00:00:00,BBG000BWYX06,0
785,SYCVJL-R,2020-09-30 00:00:00,BBG005TNS0Q7,0
786,SYDY33-R,2020-09-14 00:00:00,BBG000BQDXP5,0
787,SYJ221-R,2020-09-11 00:00:00,BBG000PRJ2Z9,0
788,SYKZRW-R,2020-09-14 00:00:00,BBG003LB3TH0,0
789,SYS0R0-R,2020-09-17 00:00:00,BBG007PN0489,1
790,SZK7F7-R,2020-07-08 00:00:00,BBG000BZ4HL4,0
791,T0J5JB-R,2020-10-09 00:00:00,BBG000C3KB84,0
792,T0JK7P-R,2019-12-05 00:00:00,BBG000BGXMG9,0
793,T0PLWF-R,2020-09-14 00:00:00,BBG000D4YTR6,0
794,T2T952-R,2020-09-09 00:00:00,BBG000JFY7K0,0
795,T2XF84-R,2020-09-29 00:00:00,BBG000BLTVN5,1
796,T2Z5LS-R,2020-09-29 00:00:00,BBG000TSWM66,1
797,T3YJC4-R,2020-09-17 00:00:00,BBG000C8NJ10,0
798,T41K3Z-R,2019-11-27 00:00:00,BBG000QK5S36,0
799,T4259K-R,2020-09-29 00:00:00,BBG000BC1X33,1
800,T43Q80-R,2020-09-29 00:00:00,BBG000G9HTM6,1
801,T460N5-R,2020-09-29 00:00:00,BBG000LJKXZ1,0
802,T6CPQP-R,2020-09-01 00:00:00,BBG000CHSS88,1
803,T7CGDK-R,2020-09-03 00:00:00,BBG000BBCQD7,1
804,T7H7M3-R,2020-09-18 00:00:00,BBG000GMKH30,0
805,T8GMPR-R,2020-09-10 00:00:00,BBG000RQBFV2,0
806,T8X2RS-R,2020-09-29 00:00:00,BBG00JM9SL98,1
807,TBZQ4K-R,2020-10-23 00:00:00,BBG00H3TKJ74,0
808,TF5S9S-R,2020-09-03 00:00:00,BBG000BVNVQ6,0
809,TGK8GS-R,2020-09-29 00:00:00,BBG0020B54Q8,1
810,TH9YHW-R,2020-09-14 00:00:00,BBG000BYQ263,0
