,fsym_id,exdate,bbg_id,in_index,listing_currency
353,RXH4B6-R,2021-06-29,BBG000BDTV08,1,CAD
354,RYRC40-R,2021-04-29,BBG000BPZBB6,1,USD
355,RYTLD3-R,2021-06-17,BBG000C32KN7,0,USD
356,RZX03G-R,2020-12-18,BBG000BV5627,0,USD
357,RZXDWV-R,2021-04-22,BBG000BR2TH3,1,USD
358,S3D6M4-R,2021-04-08,BBG000GGLZZ7,0,USD
359,S6PC9W-R,2021-06-14,BBG000BDP1P1,1,CAD
360,S6ZVJX-R,2021-04-14,BBG000PQPCM6,0,USD
361,S7Q76X-R,2021-06-29,BBG000C0GL92,0,CAD
362,S8T91R-R,2021-01-29,BBG000G718L4,0,USD
363,S8Z499-R,2021-04-20,BBG000BX24N8,1,USD
364,SC3L0N-R,2021-03-31,BBG000QHCLD9,0,USD
365,SC6PG2-R,2021-04-08,BBG005T5RWR6,0,USD
366,SD0F4T-R,2021-06-14,BBG004RXCMJ7,1,CAD
367,SDD8QX-R,2021-04-01,BBG000BF4DG3,0,USD
368,SDDNG8-R,2021-04-08,BBG000BVMZD2,0,USD
369,SDKY5W-R,2021-06-29,BBG00L07HDN5,0,CAD
370,SGNMXY-R,2021-05-10,BBG000BGD220,0,USD
371,SHNDLT-R,2021-04-14,BBG000B9ZXB4,1,USD
372,SJS27W-R,2021-06-11,BBG003MN93C9,0,USD
373,SJSMSW-R,2021-06-21,BBG000BCB3K9,1,CAD
374,SLG208-R,2021-06-03,BBG000QYBB54,0,CAD
375,SNC4KL-R,2021-04-30,BBG000M6TR37,0,USD
376,SNVTLF-R,2020-03-31,BBG001VGY0M5,0,USD
377,SRQB8C-R,2021-04-30,BBG000GHLDQ4,0,USD
378,STRYM2-R,2021-03-31,BBG000NKDGG2,0,USD
379,SW586Q-R,2021-04-23,BBG000BM2GS0,0,USD
380,SW683N-R,2021-04-07,BBG000BC2KW8,0,USD
381,SW6SST-R,2020-01-29,BBG00HPBBSM2,0,USD
382,SYKZRW-R,2021-06-29,BBG003LB3TH0,0,USD
383,T0J5JB-R,2021-04-12,BBG000C3KB84,0,USD
384,T1NTHS-R,2021-04-29,BBG000CLP0Y4,0,USD
385,T1TZBM-R,2021-04-09,BBG000BBFFS2,0,USD
386,T2TKPB-R,2021-06-21,BBG000BQYCB3,1,CAD
387,T2TNWF-R,2021-03-31,BBG000BTVJ25,1,USD
388,T66XM6-R,2021-04-29,BBG000BLFSZ4,0,USD
389,T72QXJ-R,2020-07-31,BBG005D0NN61,0,USD
390,T7H5H1-R,2021-01-21,BBG000BG3445,1,USD
391,TBXQQ1-R,2021-04-13,BBG000BHRMK9,0,USD
392,TBZQ4K-R,2021-04-23,BBG00H3TKJ74,0,USD
393,TD0J4R-R,2021-04-29,BBG000BWD8Y7,0,USD
394,TDZFBZ-R,2021-04-29,BBG000BC2R71,0,USD
395,TF8YGW-R,2021-04-08,BBG000QWLH09,0,USD
396,TG94W1-R,2021-04-29,BBG000CLNSF6,0,USD
397,TKPKXZ-R,2021-03-31,BBG000BJ3LL2,0,USD
398,TKQFKS-R,2021-03-31,BBG000CSY9W2,0,USD
399,TKSJKR-R,2021-06-29,BBG000GN4ZY2,1,CAD
400,TLPRD7-R,2021-04-29,BBG00KXKRKY3,0,USD
401,TP420X-R,2021-06-29,BBG000BYCJJ7,1,CAD
402,TPVMLM-R,2021-04-16,BBG00NNW6M44,0,USD
403,TQ33B3-R,2021-06-29,BBG000BZH3D0,1,CAD
404,TW6KKV-R,2021-04-20,BBG0039320N9,1,USD
405,TWXW2R-R,2021-05-13,BBG000BQQH30,1,USD
406,TXX939-R,2021-04-08,BBG000BFF550,0,USD
407,TYSRJ3-R,2021-06-29,BBG004P8YQ01,1,CAD
408,V06P89-R,2021-04-14,BBG000BFJFX3,0,USD
409,V0LYTZ-R,2020-01-30,BBG003M3V230,0,USD
