,fsym_id,listing_currency,payment_currency,declared_date,exdate,record_date,payment_date,payment_amount,div_type,div_freq,div_initiation,skipped,exdate_l1,payment_amount_l1,div_increase,bbg_id,bbg_ticker
132,M4VLV7-R,USD,USD,,1990-06-11,,1990-07-02,0.008192000550229344,regular,4,True,False,1983-06-28,0.020480002672640142,False,BBG000BNNYW1,MAT US
133,M4VR3C-R,USD,USD,,2000-05-25,2000-05-30,2000-06-15,0.3125,regular,4,True,False,1987-08-10,0.125,True,BBG000BVX9F6,
134,M4VYHK-R,USD,USD,,2003-08-15,2003-08-19,2003-09-03,0.150000006,regular,2,True,False,1996-09-09,0.075000003,True,BBG000BRY8B0,
135,M506MK-R,USD,USD,,2003-10-21,2003-10-23,2003-11-06,0.0399999991,regular,4,True,False,2000-01-12,0.0599999985,False,BBG000BV3594,
136,MCTMVZ-R,CAD,CAD,,1995-05-26,,1995-06-30,0.100000001,regular,4,True,False,1993-04-08,0.123500988,False,BBG000CZ7D57,
137,MDLLPL-R,USD,USD,,1989-02-06,,1989-03-01,0.200000003,regular,4,True,False,1985-11-06,0.25,False,BBG000FKBNC2,
138,MH33D6-R,USD,USD,,2012-08-09,2012-08-13,2012-08-16,0.09464286478392872,regular,4,True,False,1995-11-21,0.0010714285907142843,True,BBG000B9XRY4,AAPL US
139,MH3TRW-R,USD,USD,,2005-05-27,2005-06-01,2005-06-15,0.02500000035,regular,4,True,False,1986-08-05,0.050000012,False,BBG000BVPPM1,
140,MH3TRW-R,USD,USD,,2012-08-29,2012-08-31,2012-09-14,0.119999997,regular,4,True,False,2009-11-27,0.0500000007,True,BBG000BVPPM1,
141,MKH9XV-R,CAD,CAD,,2000-03-13,2000-03-15,2000-03-31,0.0649999976,regular,4,True,False,1998-03-12,0.0649999976,False,BBG000BY07V2,CFP CN
142,MLHF81-R,CAD,USD,,1996-05-07,1996-05-09,1996-05-23,0.0500000007,regular,4,True,False,1995-02-07,0.150000006,False,BBG000CZQRZ2,
143,MMRZQ5-R,USD,USD,,2011-09-13,2011-09-15,2011-10-14,0.219999999,regular,4,True,False,2008-12-11,0.35000000489999994,False,BBG000BP8Z50,MSI US
144,MR5BN1-R,CAD,CAD,,1992-11-06,,1992-12-15,0.143986002,regular,4,True,False,1990-05-07,0.112999998,True,BBG000BFK1R9,TRI CN
145,MS9DHY-R,USD,USD,,1989-05-10,,1989-06-01,0.0500000007,regular,4,True,False,1983-10-24,0.0500000007,False,BBG000DR5QP5,BCO US
146,MTGRW2-R,USD,USD,,1996-02-21,1996-02-23,1996-04-01,0.150000006,regular,4,True,False,1994-07-01,0.0952997133,True,BBG00CVQZQ96,ITT US
147,MVKZ35-R,USD,USD,,1999-11-29,1999-12-01,1999-12-30,0.100000001,regular,4,True,False,1997-02-26,0.25,False,BBG000BQ87N0,ES US
148,MYZ7WZ-R,USD,USD,,2003-01-15,2003-01-17,2003-01-31,0.0299999993,regular,4,True,False,1995-01-26,0.150000006,False,BBG000BX8DC4,FL US
149,NFLZ7S-R,CAD,CAD,,2004-10-27,2004-10-29,2004-11-12,0.0199999996,regular,4,True,False,2000-11-01,0.0299999993,False,BBG000BHWHV2,CCA CN
150,NGW97P-R,USD,USD,,1989-01-25,,1989-02-15,0.037500001500000005,regular,4,True,False,1988-01-25,0.07999999825000001,False,BBG000BQHGR6,OKE US
151,NJ0JFR-R,CAD,CAD,,1994-06-03,,1994-07-01,0.100000001,regular,4,True,False,1992-03-17,0.150000006,False,BBG000BYJRB0,
152,NKGZ7J-R,USD,USD,,2018-02-28,2018-03-01,2018-03-30,0.349999994,regular,4,True,False,2012-12-13,2.0,False,BBG000QW7VC1,HCA US
153,NMD0QT-R,CAD,CAD,,1994-09-21,,1994-10-28,0.0799999982,regular,4,True,False,1992-09-21,0.0799999982,False,BBG000K4GWV6,
154,NPS0W8-R,CAD,CAD,,2012-12-18,2012-12-20,2012-12-28,1.000000014,regular,4,True,False,2009-01-28,0.7529100246595242,True,BBG000BT0G52,PD CN
155,NQTR8Z-R,USD,USD,,1999-12-15,1999-12-17,1999-12-27,0.5266666960633337,regular,1,True,False,1997-12-03,0.083333335875,True,BBG000BNHSP9,JEF US
156,NQTR8Z-R,USD,USD,,2010-12-15,2010-12-17,2010-12-30,0.25,regular,1,True,False,2007-12-13,0.25,False,BBG000BNHSP9,JEF US
157,NX4S4Z-R,USD,USD,,1986-02-24,,1986-03-15,0.220000029,regular,4,True,False,1984-08-27,0.159999996,True,BBG000CVZFH7,
158,NZMV05-R,USD,USD,,2004-01-02,2004-01-06,2004-01-31,0.200000003,regular,4,True,False,2000-10-03,0.280000001,False,BBG000D7RKJ5,EIX US
159,P1WWLX-R,CAD,CAD,,2009-04-16,2009-04-20,2009-04-30,0.0199999996,regular,1,True,False,1998-10-07,0.0399999991,False,BBG000DKQDS3,WDO CN
160,P399DN-R,USD,USD,,1994-05-24,,1994-06-17,0.150000006,regular,4,True,False,1991-07-22,0.25,False,BBG000DM86Y7,
161,P5F9DQ-R,USD,USD,,2019-08-19,2019-08-20,2019-09-10,0.0199999996,regular,4,True,False,2015-11-13,0.0199999996,False,BBG000BLCL55,
162,P7KT40-R,CAD,CAD,,1997-07-16,1997-07-18,1997-08-01,0.0299999993,regular,4,True,False,1990-12-24,0.125,False,BBG000BCQ2Z9,
163,P8Q7Q8-R,CAD,CAD,,1994-10-11,,1994-11-07,0.075000003,regular,1,True,False,1992-09-24,0.0649999975,True,BBG000BCZQF8,
164,P9W9H3-R,CAD,CAD,,2005-02-14,2005-02-16,2005-03-04,0.0248000007,regular,4,True,False,2000-11-21,0.100000001,False,BBG000BXZND1,
165,PBZKZD-R,CAD,CAD,,2017-11-07,2017-11-08,2017-12-22,0.0127980001,regular,2,True,False,2016-02-26,0.03167949945,False,BBG000RG1PM3,OGC CN
166,PGMTVK-R,USD,USD,,1988-04-27,,1988-06-10,0.375,regular,4,True,False,1987-02-04,0.375,False,BBG000BVTNR7,
167,PHJ2V4-R,USD,USD,,2011-02-24,2011-02-28,2011-03-14,0.0250000004,regular,4,True,False,2009-02-11,0.0125000002,True,BBG000BKTT89,
168,PKY50L-R,USD,USD,,1986-03-19,,1986-04-15,0.028729293351842995,regular,4,True,False,1985-12-20,0.026988,True,BBG000BFPK65,CINF US
