bm_id,fsym_id,bbg_id,cnt
SP500,GZF20K-R,BBG000BM5SR2,2
SP500,GZKHGQ-R,BBG000C1XVK6,2
SP500,H0P6P9-R,BBG000D2ZTS8,2
SP500,H1PMLS-R,BBG000BFQYY3,2
SP500,H2VPCM-R,BBG000BBGGQ1,2
SP500,H53QZC-R,BBG000CNFQW6,2
SP500,H679XT-R,BBG00NNG2ZJ8,2
SP500,H69CWS-R,BBG002PHSYX9,2
SP500,GX5LJC-R,BBG000BYYLS8,2
SP500,H7DGWR-R,BBG000BKVJK4,2
SP500,HF1P15-R,BBG000BJ49H3,2
SP500,HHB3C8-R,BBG000D4LWF6,2
SP500,HP58X9-R,BBG000F7RCJ1,2
SP500,HQ2MHF-R,BBG00LNJRQ09,2
SP500,HQ4DBK-R,BBG000BQLTW7,2
SP500,HQ87P5-R,BBG000BVV7G1,2
SP500,HSF35X-R,BBG000BNNKG9,2
SP500,HSFL3C-R,BBG000BRJ809,2
SP500,HVV49B-R,BBG000BR37X2,2
SP500,HJXXH4-R,BBG001KJ2HM9,2
SP500,HKLJPC-R,BBG000BQ8KV2,2
SP500,HMVVTC-R,BBG000BD0TF8,2
SP500,HP13ZD-R,BBG008NXC572,2
SP500,HZ6Z7Q-R,BBG000C0G1D1,2
SP500,FQZF97-R,BBG000F1ZSN5,2
SP500,FR4YZK-R,BBG0088CYPX8,2
SP500,FS319Q-R,BBG000BJ81C1,2
SP500,FS32CR-R,BBG000BJ8YN7,2
SP500,FT7VMB-R,BBG000BRNGM2,2
SP500,FT8DNV-R,BBG000BP52R2,2
SP500,FT8FQW-R,BBG000HS77T5,2
SP500,FV824M-R,BBG000FDBX90,2
SP500,FWHC5K-R,BBG000C2V3D6,2
SP500,FXH4XG-R,BBG000CGC1X8,2
SP500,FYT41X-R,BBG000D898T9,2
SP500,FZRL7K-R,BBG000BB8SW7,2
SP500,G3949H-R,BBG000QH56C1,2
SP500,G4GB6B-R,BBG000BV4DR6,2
SP500,GFJC62-R,BBG000C3J3C9,2
SP500,GFJGD5-R,BBG000BQC9V2,2
SP500,GGPDYX-R,BBG000BHLYP4,2
SP500,GGPVTB-R,BBG000CH5208,2
SP500,GN6KCJ-R,BBG000BKTFN2,2
SP500,GN6RRQ-R,BBG000BVVQQ8,2
SP500,GQGQ5C-R,BBG000BLW530,2
SP500,G7VZQH-R,BBG000BKWSR6,2
SP500,G8WDMZ-R,BBG000BBVJZ8,2
SP500,GC9695-R,BBG000BSXQV7,2
SP500,GRMY8C-R,BBG000BH3JF8,2
SP500,GRQMJ0-R,BBG000WCFV84,2
SP500,GRS9LG-R,BBG000BBNYF6,2
SP500,GRSDSK-R,BBG000B9X8C0,2
SP500,GS3RJ8-R,BBG000BY2Y78,2
SP500,F05QG0-R,BBG000P458P3,2
SP500,F9VYPD-R,BBG0078W3NQ3,2
SP500,FBB432-R,BBG000BQSQ38,2
SP500,FDS1XB-R,BBG000BJVN28,2
SP500,FDS65G-R,BBG000Q3JN03,2
SP500,FH1NKL-R,BBG000BN5HF7,2
SP500,FJ1B1C-R,BBG000BBHXQ3,2
SP500,FJ4J4C-R,BBG000BHKYH4,2
SP500,FJ4NDH-R,BBG000BSBZH7,2
SP500,FJ8GT6-R,BBG000BND699,2
SP500,FMDS8D-R,BBG000BTCH57,2
SP500,FPPSQ1-R,BBG000C4LN67,2
SP500,FPTJVK-R,BBG000BT1715,2
SP500,DLSMXK-R,BBG000BX3BL3,2
SP500,DMRWLY-R,BBG000BJ26K7,2
SP500,DMX4QY-R,BBG00YTS96G2,2
SP500,DRBC9M-R,BBG000BKR1D6,2
SP500,DTKPJP-R,BBG000B9XYV2,2
SP500,DTKZ1Y-R,BBG000BCTLF6,2
SP500,DXVDJ4-R,BBG000KLB4Q1,2
SP500,DXW84Y-R,BBG000BT7JW9,2
SP500,DXZQS6-R,BBG000NSCNT7,2
SP500,F07Q7W-R,BBG000H3YXF8,2
SP500,F17SJ1-R,BBG000BB6G37,2
SP500,F1DFCD-R,BBG000BR54L0,2
SP500,B4L66G-R,BBG000BQT4L6,2
SP500,B6V0BZ-R,BBG000BCVG28,2
SP500,B6ZP8C-R,BBG000BKY1G5,2
SP500,B19ST9-R,BBG000BNBDC2,2
SP500,B81TLL-R,BBG00KHY5S69,2
SP500,B83YJG-R,BBG00H433CR2,2
SP500,B97MP0-R,BBG000B9Z0J8,2
SP500,BCD4JF-R,BBG000BJP882,2
SP500,BJ2HRV-R,BBG000BT41Q8,2
SP500,BK2FRW-R,BBG000MDCQC2,2
SP500,BK6JKQ-R,BBG000BVDLH9,2
SP500,BL5KVX-R,BBG000F6H8W8,2
SP500,BM9QXX-R,BBG000DKCC19,2
SP500,BPRHF0-R,BBG000BHGDH5,2
SP500,BQWWY7-R,BBG000BMW2Z0,2
SP500,BRWKF0-R,BBG000BLXZN1,2
SP500,BV4P4T-R,BBG000BB6M98,2
SP500,BV8JHF-R,BBG000BC4JJ4,2
SP500,BWDZ2P-R,BBG000D9D830,2
SP500,BWZ93Y-R,BBG001B4BV87,2
SP500,BYJYYM-R,BBG000BVMGF2,2
SP500,BYNP13-R,BBG000DQTXY6,2
SP500,BZPFLX-R,BBG000BL46Q4,2
SP500,C46DK8-R,BBG000BPPN67,2
SP500,C4HBRT-R,BBG0025Y4RY4,2
SP500,C5GXYC-R,BBG000BM6788,2
SP500,C7C9TP-R,BBG00BN96922,2
SP500,C8WF4C-R,BBG000FV1Z23,2
SP500,C8XJ7D-R,BBG000BRDSX5,2
SP500,BDQDB8-R,BBG000NV1KK7,2
SP500,CFG1CD-R,BBG000TRJ294,2
SP500,CGGG4R-R,BBG000BPWXK1,2
SP500,CHK9QJ-R,BBG000BMDBZ1,2
SP500,CHKL7S-R,BBG000BNDN65,2
SP500,CJVKH9-R,BBG000BFS7D3,2
SP500,CPCW2Z-R,BBG000BGPTV6,2
SP500,CRP3ZV-R,BBG000BX9WL1,2
SP500,CSMTMQ-R,BBG000BWXBC2,2
SP500,CTYNJ1-R,BBG000BK6MB5,2
SP500,CRHPMR-R,BBG000C221G9,2
SP500,CY644B-R,BBG000BLZRJ2,2
SP500,CYB1M0-R,BBG000BBS2Y0,2
SP500,CYB6Y5-R,BBG000BMX289,2
SP500,CYBC69-R,BBG000BLF8D2,2
SP500,CZBYFY-R,BBG000BMTFR4,2
SP500,D1P43P-R,BBG000BWJFZ4,2
SP500,D3VZJC-R,BBG000BS5DR2,2
SP500,D502G9-R,BBG000BB9KF2,2
SP500,D68983-R,BBG000BFVXX0,2
SP500,D8D820-R,BBG000BS9489,2
SP500,DF9PT2-R,BBG000BD8PN9,2
SP500,DG27Q5-R,BBG000BHX7N2,2
SP500,DG6SCF-R,BBG000BMZ7P7,2
SP500,DH79H0-R,BBG000BWSV34,2
SP500,DH7WLK-R,BBG000BHD8S7,2
SP500,DJC60R-R,BBG000BDXGP9,2
SP500,F1DNTM-R,BBG000BS73J1,3
SP500,VNRDMV-R,BBG000BVMPN3,3
SP500,G5M19V-R,BBG000BVP5P2,6
SP500,B6ZXQL-R,BBG000DHPN63,6
SPTSX,FVC51J-R,BBG000BZ63S6,1
SPTSX,DWQQCL-R,BBG000CH7LR5,1
