,fsym_id,exdate,bbg_id,in_index,listing_currency
333,JR60D1-R,2021-02-05,BBG000Q8QBC7,0,USD
334,JRFYNM-R,2021-02-16,BBG001DCCGR8,1,USD
335,JS1YSB-R,2021-03-02,BBG000DZ8BC1,1,CAD
336,JS2P50-R,2021-04-14,BBG000BSR5N9,1,CAD
337,JS2Q71-R,2021-02-09,BBG000BRTL90,0,USD
338,JT71M6-R,2021-02-17,BBG000C060M4,1,USD
339,JT792F-R,2021-02-22,BBG000C0QCK8,1,CAD
340,JT8RWT-R,2021-04-29,BBG000GLMHS3,0,CAD
341,JTBMFK-R,2021-03-04,BBG000BF73Y2,0,USD
342,JTCRLM-R,2021-04-29,BBG000C0FZY4,0,CAD
343,JTJF0J-R,2021-02-11,BBG000TGZHS6,0,USD
344,JWFM05-R,2021-02-19,BBG0046LJYT2,0,USD
345,JWGNCJ-R,2021-03-04,BBG000BJ9B29,0,USD
346,JWMV8D-R,2021-02-04,BBG000CND7W0,0,USD
347,JXLR9G-R,2021-04-22,BBG000DJYTQ4,0,USD
348,JXQLN2-R,2021-02-11,BBG000JQ42W7,0,USD
349,JYRLP3-R,2020-12-01,BBG000BM9BQ6,0,USD
350,K14T6R-R,2021-02-25,BBG000BLK267,0,USD
351,K24537-R,2021-02-25,BBG000BKFZM4,1,USD
352,K24Q4R-R,2021-03-05,BBG000BGLRN3,1,USD
353,K287X2-R,2021-03-02,BBG000DJX7Q3,0,USD
354,K36637-R,2021-02-12,BBG000BH3F20,0,USD
355,K3DD15-R,2021-03-09,BBG000D86F25,0,USD
356,K6NZPD-R,2021-02-12,BBG000BWW509,0,USD
357,K6PJQX-R,2021-02-10,BBG000MMCGW2,0,USD
358,K6TS68-R,2021-02-22,BBG00QVJVYB5,0,USD
359,K6VK9M-R,2021-02-10,BBG000D5BNR1,0,USD
360,K6XCSB-R,2021-02-10,BBG000HVWVP1,0,USD
361,K7YFYF-R,2020-01-31,BBG000PR2ZP5,0,USD
362,K8ZL7L-R,2021-02-16,BBG000BJYZD6,0,USD
363,K916G7-R,2021-02-04,BBG000Q0BPZ4,0,USD
364,KB3682-R,2021-02-25,BBG000BKYVF0,0,USD
365,KB3SCM-R,2021-02-23,BBG000BT5PG5,0,USD
366,KC6VBL-R,2021-04-29,BBG000BC9DK0,0,USD
367,KC6WDM-R,2021-02-26,BBG000C1BW00,1,USD
368,KCDZJV-R,2021-02-17,BBG00JM2HN46,0,USD
369,KDC2JN-R,2021-02-25,BBG00K6988R4,1,CAD
